source,movie,subtitle_id,line_index,context,masked_line,gold_line,gold_pronoun
IndicDialogue,Om Jai Jagadish,1955489781,14,"""अपने झुंड की उद्धारक करने के लिए कहा, हम प्रार्थना करते हैं""
""हम अपने प्रभु की महिमा के लिए गाना""","जय, ____ देर से कर रहे हैं! - हाँ! हाँ! मुझे पता है!","जय, तुम देर से कर रहे हैं! - हाँ! हाँ! मुझे पता है!",तुम
IndicDialogue,Om Jai Jagadish,1955489781,21,"हाँ। मेरी मां इस समय प्रार्थना करता है। - क्यूं कर?
मेरी मां घर वापस इस समय प्रार्थना करता है।","यह है .. यह केवल समय मैं उसके साथ होने के लिए मिलता है, ____ जानते हो?","यह है .. यह केवल समय मैं उसके साथ होने के लिए मिलता है, तुम जानते हो?",तुम
IndicDialogue,Om Jai Jagadish,1955489781,22,"मेरी मां घर वापस इस समय प्रार्थना करता है।
यह है .. यह केवल समय मैं उसके साथ होने के लिए मिलता है, तुम जानते हो?",____ इस मिल नहीं होंगे। - क्या?,आप इस मिल नहीं होंगे। - क्या?,आप
IndicDialogue,Om Jai Jagadish,1955489781,25,"वाह! 1984 मर्सिडीज, वी 8, 380 एसी, शीर्ष गति।
240 किलोमीटर प्रति घंटे। वह सुंदर है।",वहाँ किसी भी अन्य बात ____ कारों के अलावा के बारे में बात कर सकते है?,वहाँ किसी भी अन्य बात आप कारों के अलावा के बारे में बात कर सकते है?,आप
IndicDialogue,Om Jai Jagadish,1955489781,39,"मेरा मतलब है कि ध्वनि के बिना .. यह कुछ भी नहीं है।
मैं अपनी आत्मा, जय पसंद है।",लेकिन इससे पहले कि ____ सबसे तेजी से कार का निर्माण आप पहली बार कार के बारे में पता करने की जरूरत है।,लेकिन इससे पहले कि आप सबसे तेजी से कार का निर्माण आप पहली बार कार के बारे में पता करने की जरूरत है।,आप
IndicDialogue,Om Jai Jagadish,1955489781,45,"11 रहमान के साथ बैठक कर रहा हूँ। एजेंडा, चोरी
02:00। नए एल्बम 3:30 PM पर पोस्टेड रिकॉर्डिंग। शेखर",उस सूची पर अपना एजेंडा रखो। ____ के लिए एक लड़की को खोजने के लिए मिला,उस सूची पर अपना एजेंडा रखो। आप के लिए एक लड़की को खोजने के लिए मिला,आप
IndicDialogue,Om Jai Jagadish,1955489781,46,"02:00। नए एल्बम 3:30 PM पर पोस्टेड रिकॉर्डिंग। शेखर
उस सूची पर अपना एजेंडा रखो। आप के लिए एक लड़की को खोजने के लिए मिला","मा, वहाँ सब कुछ के लिए एक समय है। यह अपने ____ ही समय में हो जाएगा","मा, वहाँ सब कुछ के लिए एक समय है। यह अपने आप ही समय में हो जाएगा",आप
IndicDialogue,Om Jai Jagadish,1955489781,58,"जुहू समुद्र तट पर गुलमोहर विला? यही कारण है कि बड़ी पुरानी हवेली?
ग्रैंड! - समझा। बाद में बात करते हैं","क्यों ____ इस कार का उपयोग नहीं करते? - मैं लूंगा, बेशक मैं लूंगा","क्यों आप इस कार का उपयोग नहीं करते? - मैं लूंगा, बेशक मैं लूंगा",आप
IndicDialogue,Om Jai Jagadish,1955489781,61,"कब? - सभी अच्छे समय में। अलविदा!
नमस्ते, सुश्री आशा।","नमस्ते, सर। (ग्रीटिंग) - ____ कैसे रामप्रसाद रहे हैं?","नमस्ते, सर। (ग्रीटिंग) - तुम कैसे रामप्रसाद रहे हैं?",तुम
IndicDialogue,Om Jai Jagadish,1955489781,63,"नमस्ते, सर। (ग्रीटिंग) - तुम कैसे रामप्रसाद रहे हैं?
कि हमेशा की तरह हर रोज सवाल के जवाब में मैं आमतौर पर हर रोज झूठ",____ झूठ बोलते हो? - के बारे में ठीक किया जा रहा है,तुम झूठ बोलते हो? - के बारे में ठीक किया जा रहा है,तुम
IndicDialogue,Om Jai Jagadish,1955489781,64,"कि हमेशा की तरह हर रोज सवाल के जवाब में मैं आमतौर पर हर रोज झूठ
तुम झूठ बोलते हो? - के बारे में ठीक किया जा रहा है",____ ठीक नहीं हैं,तुम ठीक नहीं हैं,तुम
IndicDialogue,Om Jai Jagadish,1955489781,66,"तुम ठीक नहीं हैं
मैं कैसे कर सकता हूं? मैं एक गायक बनना चाहते हैं",मुझे आशा है कि ____ मुझे किसी दिन हम देख रहे हैं नोटिस में यहाँ लिफ्टवाला का काम हाथ में लिया,मुझे आशा है कि आप मुझे किसी दिन हम देख रहे हैं नोटिस में यहाँ लिफ्टवाला का काम हाथ में लिया,आप
IndicDialogue,Om Jai Jagadish,1955489781,67,"मैं कैसे कर सकता हूं? मैं एक गायक बनना चाहते हैं
मुझे आशा है कि आप मुझे किसी दिन हम देख रहे हैं नोटिस में यहाँ लिफ्टवाला का काम हाथ में लिया",मैं बहुत अच्छी तरह से गाते हैं। ____ सुनना चाहते हैं ...?,मैं बहुत अच्छी तरह से गाते हैं। आप सुनना चाहते हैं ...?,आप
IndicDialogue,Om Jai Jagadish,1955489781,71,"यही कारण है कि लोक था, लेकिन मैं इसे रैप करने के लिए बदल सकते हैं
बाद में बात करते हैं",मैंने ____ कहा था। समझने की कोशिश करो। मैं एक शब्द में डाल करने की कोशिश करेंगे,मैंने तुमसे कहा था। समझने की कोशिश करो। मैं एक शब्द में डाल करने की कोशिश करेंगे,तुमसे
IndicDialogue,Om Jai Jagadish,1955489781,72,"बाद में बात करते हैं
मैंने तुमसे कहा था। समझने की कोशिश करो। मैं एक शब्द में डाल करने की कोशिश करेंगे","श्री ओम, ____ क्यों एक पुलिस शिकायत दर्ज की थी? वह एक गरीब आदमी है","श्री ओम, तुम क्यों एक पुलिस शिकायत दर्ज की थी? वह एक गरीब आदमी है",तुम
IndicDialogue,Om Jai Jagadish,1955489781,73,"मैंने तुमसे कहा था। समझने की कोशिश करो। मैं एक शब्द में डाल करने की कोशिश करेंगे
श्री ओम, तुम क्यों एक पुलिस शिकायत दर्ज की थी? वह एक गरीब आदमी है",क्योंकि ____ एक गद्दार जो मेरे संगीत समुद्री डाकू,क्योंकि तुम एक गद्दार जो मेरे संगीत समुद्री डाकू,तुम
IndicDialogue,Om Jai Jagadish,1955489781,75,"क्योंकि तुम एक गद्दार जो मेरे संगीत समुद्री डाकू
हम कड़ी मेहनत और कैसेट बनाने।",और अगर ____ नकली प्रतियां बनाने के लिए और बाजार में बेचते हैं!,और अगर आप नकली प्रतियां बनाने के लिए और बाजार में बेचते हैं!,आप
IndicDialogue,Om Jai Jagadish,1955489781,77,"और अगर आप नकली प्रतियां बनाने के लिए और बाजार में बेचते हैं!
तो क्या गलत हुआ? यह केवल व्यापार है। अगर मैं कर कुछ पैसे pirating ...","मैं भी ____ के लिए एक सा छोड़ सकते हैं। अपने जीवन, श्री ओम तेजी से आगे","मैं भी आप के लिए एक सा छोड़ सकते हैं। अपने जीवन, श्री ओम तेजी से आगे",आप
