source,movie,subtitle_id,line_index,context,masked_line,gold_line,gold_pronoun
IndicDialogue,Good Newwz,1956816836,10,"-इस गाड़ी की कुछ ख़ासियतें बताएँ। -हाँ, सर आपका...
...बच्चा चुप हो जाए तो मैं सारी ख़ासियतों के बारे में बता दूँगा।
श्रीमान गिल!
पापा चलो!
बेटे!",ये गाड़ी ____ लिए।,ये गाड़ी आपके लिए।,आपके
IndicDialogue,Good Newwz,1956816836,14,"बेटे!
ये गाड़ी आपके लिए।
इसके साथ खेलो!
श्रीमान गिल, वरुण बत्रा, सीईओ।
मैं अपने ऑफ़िस से देख रहा था।",और मुझे कोई आश्चर्य नहीं कि ____ बच्चे को हमारी यह गाड़ी पसंद नहीं आई।,और मुझे कोई आश्चर्य नहीं कि आपके बच्चे को हमारी यह गाड़ी पसंद नहीं आई।,आपके
IndicDialogue,Good Newwz,1956816836,15,"ये गाड़ी आपके लिए।
इसके साथ खेलो!
श्रीमान गिल, वरुण बत्रा, सीईओ।
मैं अपने ऑफ़िस से देख रहा था।
और मुझे कोई आश्चर्य नहीं कि आपके बच्चे को हमारी यह गाड़ी पसंद नहीं आई।",क्योंकि मैं भी यही सोचता हूँ कि ये गाड़ी ____ परिवार के लिए ठीक नहीं है।,क्योंकि मैं भी यही सोचता हूँ कि ये गाड़ी आपके परिवार के लिए ठीक नहीं है।,आपके
IndicDialogue,Good Newwz,1956816836,16,"इसके साथ खेलो!
श्रीमान गिल, वरुण बत्रा, सीईओ।
मैं अपने ऑफ़िस से देख रहा था।
और मुझे कोई आश्चर्य नहीं कि आपके बच्चे को हमारी यह गाड़ी पसंद नहीं आई।
क्योंकि मैं भी यही सोचता हूँ कि ये गाड़ी आपके परिवार के लिए ठीक नहीं है।","आकाश, ____ घर जाओ।","आकाश, तुम घर जाओ।",तुम
IndicDialogue,Good Newwz,1956816836,17,"श्रीमान गिल, वरुण बत्रा, सीईओ।
मैं अपने ऑफ़िस से देख रहा था।
और मुझे कोई आश्चर्य नहीं कि आपके बच्चे को हमारी यह गाड़ी पसंद नहीं आई।
क्योंकि मैं भी यही सोचता हूँ कि ये गाड़ी आपके परिवार के लिए ठीक नहीं है।
आकाश, तुम घर जाओ।","आइए, मैं ____ गाड़ी दिखाता हूँ।","आइए, मैं आपको गाड़ी दिखाता हूँ।",आपको
IndicDialogue,Good Newwz,1956816836,20,"क्योंकि मैं भी यही सोचता हूँ कि ये गाड़ी आपके परिवार के लिए ठीक नहीं है।
आकाश, तुम घर जाओ।
आइए, मैं आपको गाड़ी दिखाता हूँ।
फोक्सवॉगन टिगुआन
एक कार जो हर तरह से उत्तम है।","____ सारे ख़ासियतों और इंजन के बारे में बताकर, समय बर्बाद नहीं करूँगा।","आपको सारे ख़ासियतों और इंजन के बारे में बताकर, समय बर्बाद नहीं करूँगा।",आपको
IndicDialogue,Good Newwz,1956816836,23,"फोक्सवॉगन टिगुआन
एक कार जो हर तरह से उत्तम है।
आपको सारे ख़ासियतों और इंजन के बारे में बताकर, समय बर्बाद नहीं करूँगा।
पर हाँ, सन-रूफ़ और ड्राइव मोड सिलेक्टर
इसे एक स्पोर्टी एसयूवी बनाते हैं।",____ परिवार के आरामदायक सफ़र के लिए एक बेहतरीन गाड़ी।,आपके परिवार के आरामदायक सफ़र के लिए एक बेहतरीन गाड़ी।,आपके
IndicDialogue,Good Newwz,1956816836,25,"आपको सारे ख़ासियतों और इंजन के बारे में बताकर, समय बर्बाद नहीं करूँगा।
पर हाँ, सन-रूफ़ और ड्राइव मोड सिलेक्टर
इसे एक स्पोर्टी एसयूवी बनाते हैं।
आपके परिवार के आरामदायक सफ़र के लिए एक बेहतरीन गाड़ी।
वैसे, यह सब ग्राहकों को समझाना मेरा काम नहीं है मगर","मैंने ____ जब देखा, ईमानदारी से कहूँ तो","मैंने आपको जब देखा, ईमानदारी से कहूँ तो",आपको
IndicDialogue,Good Newwz,1956816836,26,"पर हाँ, सन-रूफ़ और ड्राइव मोड सिलेक्टर
इसे एक स्पोर्टी एसयूवी बनाते हैं।
आपके परिवार के आरामदायक सफ़र के लिए एक बेहतरीन गाड़ी।
वैसे, यह सब ग्राहकों को समझाना मेरा काम नहीं है मगर
मैंने आपको जब देखा, ईमानदारी से कहूँ तो",____ किसी और गाड़ी से उतरते हुए मैं सोच भी नहीं सकता।,आपको किसी और गाड़ी से उतरते हुए मैं सोच भी नहीं सकता।,आपको
IndicDialogue,Good Newwz,1956816836,27,"इसे एक स्पोर्टी एसयूवी बनाते हैं।
आपके परिवार के आरामदायक सफ़र के लिए एक बेहतरीन गाड़ी।
वैसे, यह सब ग्राहकों को समझाना मेरा काम नहीं है मगर
मैंने आपको जब देखा, ईमानदारी से कहूँ तो
आपको किसी और गाड़ी से उतरते हुए मैं सोच भी नहीं सकता।",____ देख सकते हैं।,आप देख सकते हैं।,आप
