source,movie,subtitle_id,line_index,context,masked_line,gold_line,gold_pronoun,gold_tier
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,1752,"तू सही स्टेट ऑफ़ माइंड में है अभी।
- हमें बाद में बात करनी चाहिए। -बाद में?
हमारी इंगेजमेंट हो रही है आज
और तू कह रही है कि
तू बैंगलोर में जॉब ले रही है?",____ बात समझ नहीं आ रही क्या?,तुझे बात समझ नहीं आ रही क्या?,तुझे,T
IndicDialogue,Jaane Jaan,1958289341,509,"आप मदद करेंगी थोड़ी सी?
आप रहने दीजिए।
आप जा के तारा की मदद कीजिए।
मैं करता हूँ।
माफ़ कीजिये।","मिसेज़ डिसूज़ा, हमें ____ और तारा के लिए कुछ सबूत इकट्ठे करने पड़ेंगे।","मिसेज़ डिसूज़ा, हमें आपके और तारा के लिए कुछ सबूत इकट्ठे करने पड़ेंगे।",आपके,AAP
IndicDialogue,Madam Chief Minister,1957179704,1259,"शादी करने वाली हूँ।
और मेरे होने वाले पति का नाम है,
दानिश रहमान खान।
जन्मदिन मुबारक हो।
आपको शादी मुबारक हो।",तो क्या कहते हैं ____ लोग?,तो क्या कहते हैं आप लोग?,आप,AAP
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,2180,"मैं परेशान होती रही, और तू हंसता रहा।
""हाँ जी, हाँ, जी, काम हो जाएगा।""
हो गया काम?
तूने मुझे इस लायक भी नहीं समझा कि एक बार बात कर ले।
एक बार शेयर कर ले, एक बार हल्का सा हिंट ही दे दे।",____ हंसती रही और मुझसे पीछा छुड़ाने की कोशिश करती रही।,तू हंसती रही और मुझसे पीछा छुड़ाने की कोशिश करती रही।,तू,T
IndicDialogue,Tu Jhoothi Main Makkaar,1958103212,2607,"{\an8}♪  कहानी की मेरी साथिया   ♪
{\an8}♪  है जुबां तू ही   ♪
{\an8}♪  कहानी की मेरी साथिया   ♪
{\an8}♪  है जुबां तू ही   ♪
{\an8}♪  ख़्वाबों में जो मेरे घुल गई  ♪",{\an8}♪ वो सुबह ____ ही  ♪,{\an8}♪ वो सुबह तू ही  ♪,तू,T
IndicDialogue,Haseen Dillruba,1957295757,385,"‎बहुत सुंदर थी वो।
‎एम. ए. भी कर रखी थी उसने, पता है आपको?
‎- ‎-नहीं।
‎किस विषय में?
‎ होम साइंस।",‎तो ____ होम्योपैथी आगे पढ़ने का इरादा है?,‎तो आपका होम्योपैथी आगे पढ़ने का इरादा है?,आपका,AAP
IndicDialogue,Good Newwz,1956816836,63,"जान, यहाँ पर बहुत काम था तो
असल में काफ़ी डिलिवरियाँ भी देनी है।
-इनवॉइस तैयार करो। -हाँ, सर।
एक काम करो,
तुम अपने ग्राहकों को ही बोल दो कि तुम्हें बच्चा करके दे।","ये वाली डिलिवरी ना, ____ उनसे करवा लो।","ये वाली डिलिवरी ना, तुम उनसे करवा लो।",तुम,TUM
IndicDialogue,Lust Stories 2,1958186552,1036,"एक बार तो हमलोग साथ में मिले थे, याद है?
तो फिर अब कंपनी कौन चला रहा है?
ओह, हैलो।
तुम्हारे सामने खड़ा है।
मुझे बहुत गर्व है तुम पर।",____ कॉलेज के टाइम से यही तो चाहते थे।,तुम कॉलेज के टाइम से यही तो चाहते थे।,तुम,TUM
IndicDialogue,Jaane Jaan,1958289341,1451,"हाँ।
ये उनकी साज़िश थी।
एक आपको बाहर ले जाए, दूसरा घर से हीटर ले जाए।
क्यों?
क्यूंकि उनको पता चल गया है कि अजीत को किस चीज़ से मारा गया है।","पुलिस को ____ पर अभी भी शक है, और वो हर एक चीज़ की जांच करेंगे।","पुलिस को आप पर अभी भी शक है, और वो हर एक चीज़ की जांच करेंगे।",आप,AAP
IndicDialogue,Dhamaka,1957450323,1271,"‪ये सच कह रहा है कि झूठ कह रहा है?
‪क्या कह रहा है? कौन सी न्यूज़?
‪ न्यूज़ देखिए आप।
‪ आईएनएल न्यूज़ से ‪मैं मानस सेठी बोल रहा हूँ।
‪श्री अर्जुन पाठक, हमें अपने विश्वसनीय ‪सूत्रों से आपके बारे में कुछ पता चला है।",{\an8}‪हम लाइव टीवी पर ‪____ कुछ पूछताछ करना चाहते हैं।,{\an8}‪हम लाइव टीवी पर ‪आपसे कुछ पूछताछ करना चाहते हैं।,आपसे,AAP
IndicDialogue,Good Newwz,1956816836,906,"आह।
दीपू।
तुम ठीक तो हो?
हाँ, मैं ठीक हूँ।
बुरा सपना था।","अब उठ ही गई हूँ तो सोच रही हूँ टहलने चली जाती हूँ, ____ सो जाओ, हनी।","अब उठ ही गई हूँ तो सोच रही हूँ टहलने चली जाती हूँ, तुम सो जाओ, हनी।",तुम,TUM
IndicDialogue,Madam Chief Minister,1957179704,1670,"मगर मैं, जिद्दी हूँ।
बचपन से अख्खड हूँ।
कोई कितने भी सितम कर ले।
कितने भी बलिदान देने पड़े मुझे।
तुम्हारी आवाज़ उठाने से,","____ सेवा करने से,","तुम्हारी सेवा करने से,",तुम्हारी,TUM
IndicDialogue,The White Tiger,1957077990,355,"‏इसी तरह यह भारत के लाखों आदमियों ‏और औरतों को फँसाकर रखता है।
‏इसलिए यकीन मानिए, सारस और उनके बेटे ‏मेरी वफ़ादारी पर भरोसा कर सकते थे।
‏ यह है कमरा।
‏मेरा कमरा है?
‏-तुम मेरे साथ ही रहोगे। ‏-अच्छा।",‏बाज़ार में गद्दा ढूँढ लेंगे ‏हम ____ लिए।,‏बाज़ार में गद्दा ढूँढ लेंगे ‏हम तुम्हारे लिए।,तुम्हारे,TUM
IndicDialogue,Dhamaka,1957450323,1192,"‪ हमें समय चाहिए।
‪-हमें आतंकवादी पकड़ना है। ‪-जल्दी कीजिए।
‪-प्लीज़ जल्दी कीजिए ‪-सर, आप नहीं कर सकते। रुकिए।
‪अर्जुन, मेरी बॉस से बात हुई।
‪अगर रेटिंग 70 प्रतिशत से ऊपर ‪जाती है तो मुझे डायरेक्टर बना दिया जाएगा।",‪- ____ बस रेटिंग से मतलब है? ‪-बात सुनिए। यह ज़रूरी है।,‪- आपको बस रेटिंग से मतलब है? ‪-बात सुनिए। यह ज़रूरी है।,आपको,AAP
IndicDialogue,Jaadugar,1957742927,1388,"अपने टाइम पर तुझ जैसे चार-चार को निपट लेता था।
-अभी चोट लगी है इसीलिए-- -सच्ची में चोट लगी है?
या मुक़ाबले से घबरा रहे हों भैया?
अबे तेरी! अबे पकड़ उसको।
-ले लो बॉल उस से। -अरे पकड़ो यार।","आज ____ बताता हूँ, फुटबॉल क्या है?","आज तुझे बताता हूँ, फुटबॉल क्या है?",तुझे,T
IndicDialogue,Shehzada,1958077493,572,"कमाल भी हो जाएगा।
♪ मैं पगला गया हूँ ये जानता ♪
♪ जो दिल के मोहल्ले में तू आ गया ♪
♪ मेरे सवाल का ♪
♪ तू ही जवाब है ♪",♪ मेरे सवाल का ____ ही जवाब है ♪,♪ मेरे सवाल का तू ही जवाब है ♪,तू,T
IndicDialogue,Hit the First Case,1957795759,1798,"महावीर कूरियर सर्विस
हम यहाँ अकेले हैं।
तुम्हें किसी से डरने की ज़रूरत नहीं है।
मैं बस… मैं बस बात करना चाहती हूँ।
तुम पागल हो गई हो।",मैं सिर्फ ____ बात करना चाहती हूँ।,मैं सिर्फ तुमसे बात करना चाहती हूँ।,तुमसे,TUM
IndicDialogue,Madam Chief Minister,1957179704,1075,"क्या मिला तुम्हें अरविंद सिंह की अगुआई में?
मंत्री बनाया है सिर्फ अपने खानदान के लोगों को।
दोस्तों को और चमचों को।
सारे ठेके दिए सिर्फ अपने लोगों को।
अरे उनका धंधा दोगुना हो गया छह महीने में।",मगर ____ अगर अपने क्षेत्र में,मगर तुम अगर अपने क्षेत्र में,तुम,TUM
IndicDialogue,Dhamaka,1957450323,1707,"‪अर्जुन पाठक आतंकवादी से मिला हुआ था।
‪पता है।
‪मेरे पास सारे फ़ोन कॉल्स की रिकॉर्डिंग है।
‪मैं सबकुछ बाहर रिलीज़ कर दूँगा।
‪बेवकूफ़ मत बनो। तुम कब सिखोगे?",‪आज के बाद ____ पर यक़ीन कौन करेगा?,‪आज के बाद तुम पर यक़ीन कौन करेगा?,तुम,TUM
