source,movie,subtitle_id,line_index,context,masked_line,gold_line,gold_pronoun
IndicDialogue,Madam Chief Minister,1957179704,762,"तेरी निजी दुश्मनी के लिए मैं सरकार का नुकसान नहीं करूँगा।
यह मेरा आदेश है।
इंद्रमणि त्रिपाठी को मंत्री बना और इस मामले को खत्म कर बस।
ना बनाऊँ तो?
-तू मेरी बात टालेगी? -हाँ।",____ गलत बात करोगे तो तुम्हारी बात भी टालूँगी दद्दा।,तुम गलत बात करोगे तो तुम्हारी बात भी टालूँगी दद्दा।,तुम
IndicDialogue,Jaadugar,1957742927,1590,"कलामंच में शो करने का मौका मिला था।
पर उसकी टीम चली गयी और अपनी फुटबॉल प्रैक्टिस लगी हुई थी।
अच्छा?
शो ही छोड़ दिया उसने अपना।
सही है यार।",अरे! ____ क्यों--,अरे! तुम क्यों--,तुम
IndicDialogue,Guilty,1956804853,997,"‎क्या तुमने इस वक़्त मुझे यहां बुलाया...
‎क्या तुम मेरे साथ सोने की कोशिश कर रहे हो?
‎-क्या बकवास है, क्या बोल रही हो तुम? ‎-क्या तुमने इसलिए मुझे यहां लाया?
‎-क्या? ‎-तुम वीजे को जेल भेजना चाहते हो क्योंकि...
‎और मैं इतने दिन से तुमसे बात कर रही थी।",‎-____ क्या कह रही हो? ‎-वीजे...,‎-तुम क्या कह रही हो? ‎-वीजे...,तुम
IndicDialogue,Ginny Weds Sunny,1956951114,1835,"‎-चाचाजी, यह खड़ी गिन्नी। ‎-यहाँ नेहा है।
‎आप घूँघट उठा के तो देखो।
‎सारे के सारे मिलके आपको बेवकूफ़ बना रहे हैं।
‎ओ चाचाजी, जल्दी करो यार, ‎मेरी गिन्नी की शादी हो जानी है।
‎चाचाजी, अपशगुन हो जाएगा ऐसे।","‎डरा रहा है अंकल ____ ये, डरा रहा है।","‎डरा रहा है अंकल आपको ये, डरा रहा है।",आपको
IndicDialogue,Jaane Jaan,1958289341,1451,"हाँ।
ये उनकी साज़िश थी।
एक आपको बाहर ले जाए, दूसरा घर से हीटर ले जाए।
क्यों?
क्यूंकि उनको पता चल गया है कि अजीत को किस चीज़ से मारा गया है।","पुलिस को ____ पर अभी भी शक है, और वो हर एक चीज़ की जांच करेंगे।","पुलिस को आप पर अभी भी शक है, और वो हर एक चीज़ की जांच करेंगे।",आप
IndicDialogue,Ginny Weds Sunny,1956951114,1546,"‎बार-बार कहने के लिए आगे बढ़ ‎मगर आगे बढ़ने ना देने के लिए।
‎और ऐसे डांवाडोल होके...
‎तुझे शादी के लिए प्रपोज़ करने के लिए।
‎और आज शायद आखिरी बार बात कर रहे हैं तो
‎चौथी बात  भी बोल ही देता हूँ।","‎देख अगर  ____ लगता है ना कि सन्नी तेरे लिए सही है,","‎देख अगर  तुझे लगता है ना कि सन्नी तेरे लिए सही है,",तुझे
IndicDialogue,The White Tiger,1957077990,226,"‏ जितने भी भगवान को तुम मानते हो,
‏उन सब की कसम खाओ ‏कि अपनी कमाई की एक-एक पाई,
‏-हर महीने, अपनी दादी के पास भेजोगे। ‏-
‏-कसम खाते हैं। ‏-क्या दाँत फाड़ रहा है?
‏मारो चिकोटी और खाओ कसम!","‏चिकोटी खा रहे हैं! दादी, ____ सोचिए…","‏चिकोटी खा रहे हैं! दादी, आप सोचिए…",आप
IndicDialogue,Shehzada,1958077493,1798,"कॉन्ग्रेच्युलेशंस, बडी।
अब आप सो जाओ और मुझे भी चैन से खाना खाने दो।
कैडबरी, तुम यहाँ?
गुड मॉर्निंग, बंटू।
सब ठीक तो है ना?",जिंदल साहब ने ये ____ लिए भेजा है।,जिंदल साहब ने ये तुम्हारे लिए भेजा है।,तुम्हारे
IndicDialogue,Ginny Weds Sunny,1956951114,475,"‎अब तो मैं खीर भी बनाऊँगा और ‎गिन्नी को तेरी भाभी और आपकी बहू भी।
‎कसम पैदा करने वाली की!
‎ओए, मेरी कसमें क्यों खा रहा है?
‎आपने अकेले पैदा किया है उसे?
‎गिन्नी को तो तू ऐसे ही पटा लेगा।",‎-____ बड़ा भरोसा है। ‎-ये ले।,‎-आपको बड़ा भरोसा है। ‎-ये ले।,आपको
IndicDialogue,Madam Chief Minister,1957179704,417,"और अगर हम मना कर दें तो?
नहीं।
आप मना नहीं करेंगे।
क्योंकि जानते हैं कि मैं सही कह रही हूँ।
और अगर करेंगे,",तो ____ जानकारी के लिए बता दूँ,तो आपकी जानकारी के लिए बता दूँ,आपकी
